DowntimeID,TurbineID,StartTime,EndTime,Reason
43,25,20-11-2025 08:00,20-11-2025 12:00,Gearbox Failure
44,64,10-12-2025 17:00,10-12-2025 20:00,Generator Failure
45,68,19-06-2025 20:00,20-06-2025 06:00,Blade Inspection
46,2,17-07-2025 07:00,17-07-2025 08:00,Generator Failure
47,72,09-05-2025 23:00,10-05-2025 06:00,Generator Failure
48,21,23-01-2025 03:00,23-01-2025 04:00,Sensor Fault
49,76,30-04-2025 22:00,01-05-2025 04:00,Gearbox Failure
50,56,05-01-2025 05:00,05-01-2025 09:00,Sensor Fault
51,33,02-02-2025 09:00,02-02-2025 19:00,Blade Inspection
52,31,19-10-2025 23:00,20-10-2025 07:00,Generator Failure
53,138,22-08-2025 23:00,23-08-2025 08:00,Scheduled Maintenance
54,137,02-02-2025 01:00,02-02-2025 02:00,Generator Failure
55,60,16-07-2025 02:00,16-07-2025 09:00,Sensor Fault
56,88,23-03-2025 08:00,23-03-2025 19:00,Blade Inspection
57,11,01-07-2025 15:00,02-07-2025 02:00,Scheduled Maintenance
58,147,29-08-2025 02:00,29-08-2025 11:00,Sensor Fault
59,111,17-09-2025 16:00,17-09-2025 22:00,Blade Inspection
60,72,12-12-2025 02:00,12-12-2025 12:00,Gearbox Failure
61,73,31-05-2025 08:00,31-05-2025 17:00,Sensor Fault
62,138,01-03-2025 13:00,02-03-2025 00:00,Sensor Fault
63,129,31-03-2025 08:00,31-03-2025 12:00,Sensor Fault
64,140,22-06-2025 23:00,23-06-2025 00:00,Generator Failure
65,28,04-08-2025 07:00,04-08-2025 14:00,Scheduled Maintenance
66,104,04-09-2025 11:00,04-09-2025 17:00,Scheduled Maintenance
67,47,18-02-2025 01:00,18-02-2025 07:00,Blade Inspection
68,109,21-01-2025 06:00,21-01-2025 17:00,Sensor Fault
69,149,05-08-2025 23:00,06-08-2025 07:00,Sensor Fault
70,9,04-06-2025 11:00,04-06-2025 17:00,Blade Inspection
71,6,01-08-2025 11:00,01-08-2025 21:00,Blade Inspection
72,107,29-05-2025 00:00,29-05-2025 10:00,Gearbox Failure
73,101,26-09-2025 04:00,26-09-2025 09:00,Blade Inspection
74,105,13-03-2025 16:00,14-03-2025 00:00,Blade Inspection
75,132,13-08-2025 21:00,13-08-2025 22:00,Gearbox Failure
76,97,08-02-2025 06:00,08-02-2025 14:00,Generator Failure
77,92,05-06-2025 12:00,05-06-2025 16:00,Blade Inspection
78,134,27-12-2025 14:00,27-12-2025 16:00,Gearbox Failure
79,69,26-03-2025 19:00,27-03-2025 03:00,Sensor Fault
80,104,13-04-2025 02:00,13-04-2025 09:00,Gearbox Failure
81,141,12-08-2025 13:00,12-08-2025 23:00,Gearbox Failure
82,1,29-09-2025 07:00,29-09-2025 10:00,Generator Failure
83,83,30-06-2025 01:00,30-06-2025 05:00,Blade Inspection
84,82,08-06-2025 20:00,08-06-2025 22:00,Blade Inspection
85,43,24-07-2025 19:00,25-07-2025 05:00,Scheduled Maintenance
86,78,08-08-2025 01:00,08-08-2025 12:00,Scheduled Maintenance
87,49,22-04-2025 06:00,22-04-2025 07:00,Scheduled Maintenance
88,136,05-03-2025 15:00,06-03-2025 00:00,Blade Inspection
89,109,02-12-2025 14:00,02-12-2025 19:00,Blade Inspection
90,56,21-06-2025 01:00,21-06-2025 08:00,Blade Inspection
91,129,28-12-2025 17:00,29-12-2025 02:00,Scheduled Maintenance
92,120,29-11-2025 00:00,29-11-2025 03:00,Generator Failure
93,10,30-08-2025 04:00,30-08-2025 07:00,Gearbox Failure
94,95,18-06-2025 18:00,19-06-2025 04:00,Sensor Fault
95,103,04-03-2025 19:00,05-03-2025 00:00,Scheduled Maintenance
96,111,28-12-2025 16:00,28-12-2025 21:00,Sensor Fault
97,108,29-12-2025 08:00,29-12-2025 10:00,Scheduled Maintenance
98,88,15-08-2025 06:00,15-08-2025 16:00,Scheduled Maintenance
99,62,06-07-2025 06:00,06-07-2025 17:00,Blade Inspection
100,73,10-08-2025 00:00,10-08-2025 05:00,Gearbox Failure
101,128,15-01-2025 05:00,15-01-2025 15:00,Blade Inspection
102,93,18-07-2025 17:00,19-07-2025 02:00,Blade Inspection
103,5,13-11-2025 21:00,14-11-2025 03:00,Generator Failure
104,95,02-04-2025 20:00,02-04-2025 21:00,Gearbox Failure
105,144,11-12-2025 16:00,11-12-2025 17:00,Generator Failure
106,25,09-10-2025 19:00,09-10-2025 22:00,Scheduled Maintenance
107,2,18-08-2025 19:00,19-08-2025 02:00,Generator Failure
108,12,27-07-2025 21:00,28-07-2025 01:00,Scheduled Maintenance
109,63,12-05-2025 01:00,12-05-2025 09:00,Generator Failure
110,30,31-01-2025 03:00,31-01-2025 04:00,Generator Failure
111,102,12-03-2025 13:00,12-03-2025 23:00,Scheduled Maintenance
112,1,31-07-2025 03:00,31-07-2025 11:00,Generator Failure
113,99,12-02-2025 22:00,13-02-2025 07:00,Generator Failure
114,146,15-10-2025 01:00,15-10-2025 09:00,Scheduled Maintenance
115,40,27-02-2025 08:00,27-02-2025 11:00,Generator Failure
116,11,28-05-2025 14:00,28-05-2025 19:00,Generator Failure
117,127,10-05-2025 16:00,10-05-2025 19:00,Generator Failure
118,124,04-08-2025 02:00,04-08-2025 08:00,Generator Failure
119,117,06-12-2025 21:00,07-12-2025 06:00,Blade Inspection
120,40,05-08-2025 13:00,05-08-2025 22:00,Generator Failure
121,80,29-10-2025 11:00,29-10-2025 12:00,Sensor Fault
122,103,07-01-2025 20:00,07-01-2025 22:00,Sensor Fault
123,97,30-03-2025 19:00,30-03-2025 20:00,Blade Inspection
124,38,09-03-2025 03:00,09-03-2025 08:00,Scheduled Maintenance
125,13,01-02-2025 10:00,01-02-2025 14:00,Scheduled Maintenance
126,128,10-02-2025 06:00,10-02-2025 16:00,Gearbox Failure
127,50,02-02-2025 05:00,02-02-2025 08:00,Generator Failure
128,59,09-03-2025 09:00,09-03-2025 19:00,Gearbox Failure
129,128,15-10-2025 09:00,15-10-2025 19:00,Sensor Fault
130,118,28-02-2025 01:00,28-02-2025 11:00,Gearbox Failure
131,8,01-11-2025 00:00,01-11-2025 08:00,Gearbox Failure
132,95,14-06-2025 05:00,14-06-2025 15:00,Gearbox Failure
133,68,26-10-2025 10:00,26-10-2025 14:00,Blade Inspection
134,76,24-08-2025 14:00,24-08-2025 21:00,Scheduled Maintenance
135,65,10-04-2025 15:00,10-04-2025 18:00,Blade Inspection
136,98,12-01-2025 16:00,12-01-2025 17:00,Sensor Fault
137,79,14-04-2025 22:00,15-04-2025 00:00,Scheduled Maintenance
138,14,03-11-2025 10:00,03-11-2025 11:00,Scheduled Maintenance
139,2,17-01-2025 18:00,18-01-2025 05:00,Generator Failure
140,20,05-03-2025 23:00,06-03-2025 06:00,Gearbox Failure
141,66,07-09-2025 21:00,08-09-2025 02:00,Generator Failure
142,133,23-05-2025 19:00,24-05-2025 01:00,Generator Failure
143,36,12-11-2025 21:00,13-11-2025 03:00,Sensor Fault
144,120,06-10-2025 16:00,06-10-2025 22:00,Generator Failure
145,142,17-11-2025 00:00,17-11-2025 08:00,Sensor Fault
146,7,30-10-2025 06:00,30-10-2025 07:00,Sensor Fault
147,31,21-01-2025 10:00,21-01-2025 15:00,Sensor Fault
148,148,04-04-2025 08:00,04-04-2025 15:00,Scheduled Maintenance
149,125,06-09-2025 07:00,06-09-2025 17:00,Scheduled Maintenance
150,15,02-05-2025 07:00,02-05-2025 09:00,Generator Failure
151,30,25-04-2025 11:00,25-04-2025 13:00,Gearbox Failure
152,53,10-11-2025 01:00,10-11-2025 05:00,Scheduled Maintenance
153,37,03-02-2025 06:00,03-02-2025 16:00,Gearbox Failure
154,87,22-12-2025 12:00,22-12-2025 13:00,Scheduled Maintenance
155,48,17-04-2025 22:00,18-04-2025 02:00,Blade Inspection
156,14,25-02-2025 04:00,25-02-2025 10:00,Sensor Fault
157,101,15-07-2025 23:00,16-07-2025 03:00,Sensor Fault
158,42,14-08-2025 23:00,15-08-2025 07:00,Blade Inspection
159,136,20-11-2025 00:00,20-11-2025 07:00,Gearbox Failure
160,71,23-01-2025 17:00,24-01-2025 03:00,Scheduled Maintenance
161,73,07-04-2025 16:00,08-04-2025 00:00,Gearbox Failure
162,138,26-03-2025 13:00,26-03-2025 23:00,Generator Failure
163,42,28-02-2025 09:00,28-02-2025 14:00,Blade Inspection
164,102,13-06-2025 18:00,14-06-2025 01:00,Blade Inspection
165,124,10-03-2025 19:00,10-03-2025 21:00,Generator Failure
166,130,19-10-2025 15:00,19-10-2025 16:00,Gearbox Failure
167,149,18-05-2025 16:00,18-05-2025 18:00,Blade Inspection
168,19,03-03-2025 18:00,04-03-2025 03:00,Sensor Fault
169,122,26-05-2025 01:00,26-05-2025 08:00,Sensor Fault
170,110,29-07-2025 21:00,30-07-2025 07:00,Generator Failure
171,72,15-11-2025 16:00,15-11-2025 23:00,Scheduled Maintenance
172,126,06-05-2025 20:00,06-05-2025 22:00,Sensor Fault
173,121,02-05-2025 07:00,02-05-2025 17:00,Scheduled Maintenance
174,108,26-10-2025 02:00,26-10-2025 09:00,Gearbox Failure
175,11,10-06-2025 12:00,10-06-2025 19:00,Generator Failure
176,31,07-04-2025 16:00,07-04-2025 19:00,Gearbox Failure
177,96,02-11-2025 06:00,02-11-2025 11:00,Sensor Fault
178,1,19-06-2025 06:00,19-06-2025 14:00,Blade Inspection
179,56,04-12-2025 07:00,04-12-2025 15:00,Gearbox Failure
180,85,19-07-2025 01:00,19-07-2025 10:00,Generator Failure
181,20,05-05-2025 03:00,05-05-2025 09:00,Generator Failure
182,60,14-07-2025 18:00,15-07-2025 01:00,Sensor Fault
183,87,14-11-2025 11:00,14-11-2025 22:00,Gearbox Failure
184,38,05-03-2025 00:00,05-03-2025 07:00,Blade Inspection
185,146,31-08-2025 01:00,31-08-2025 07:00,Scheduled Maintenance
186,103,17-06-2025 02:00,17-06-2025 11:00,Sensor Fault
187,31,18-02-2025 03:00,18-02-2025 04:00,Scheduled Maintenance
188,86,15-08-2025 03:00,15-08-2025 13:00,Gearbox Failure
189,148,04-11-2025 07:00,04-11-2025 08:00,Generator Failure
190,72,29-05-2025 21:00,30-05-2025 02:00,Scheduled Maintenance
191,71,11-10-2025 06:00,11-10-2025 17:00,Scheduled Maintenance
192,25,18-02-2025 06:00,18-02-2025 13:00,Scheduled Maintenance
193,104,26-04-2025 18:00,27-04-2025 01:00,Blade Inspection
194,51,17-11-2025 20:00,18-11-2025 02:00,Sensor Fault
195,35,15-11-2025 08:00,15-11-2025 13:00,Sensor Fault
196,64,24-04-2025 00:00,24-04-2025 02:00,Gearbox Failure
197,139,21-04-2025 14:00,21-04-2025 18:00,Generator Failure
198,127,18-04-2025 12:00,18-04-2025 23:00,Scheduled Maintenance
199,149,14-11-2025 08:00,14-11-2025 09:00,Blade Inspection
200,55,02-03-2025 07:00,02-03-2025 18:00,Gearbox Failure
201,72,20-09-2025 21:00,21-09-2025 00:00,Blade Inspection
202,130,12-03-2025 17:00,13-03-2025 01:00,Generator Failure
203,52,09-01-2025 16:00,09-01-2025 21:00,Generator Failure
204,90,20-02-2025 15:00,20-02-2025 21:00,Scheduled Maintenance
205,67,27-05-2025 18:00,27-05-2025 20:00,Sensor Fault
206,100,17-06-2025 13:00,17-06-2025 14:00,Sensor Fault
207,48,03-07-2025 22:00,04-07-2025 09:00,Blade Inspection
208,113,16-04-2025 16:00,16-04-2025 19:00,Sensor Fault
209,4,12-06-2025 22:00,13-06-2025 04:00,Sensor Fault
210,6,21-01-2025 23:00,22-01-2025 07:00,Gearbox Failure
211,148,28-04-2025 16:00,29-04-2025 01:00,Scheduled Maintenance
212,15,01-06-2025 03:00,01-06-2025 12:00,Gearbox Failure
213,14,01-05-2025 08:00,01-05-2025 14:00,Blade Inspection
214,117,21-07-2025 16:00,22-07-2025 01:00,Scheduled Maintenance
215,52,14-02-2025 14:00,14-02-2025 20:00,Generator Failure
216,35,20-08-2025 07:00,20-08-2025 10:00,Scheduled Maintenance
217,122,28-05-2025 09:00,28-05-2025 20:00,Gearbox Failure
218,45,30-10-2025 23:00,31-10-2025 04:00,Scheduled Maintenance
219,8,20-03-2025 12:00,20-03-2025 16:00,Sensor Fault
220,24,17-03-2025 07:00,17-03-2025 12:00,Blade Inspection
221,20,07-01-2025 16:00,07-01-2025 18:00,Scheduled Maintenance
222,50,09-07-2025 02:00,09-07-2025 05:00,Blade Inspection
223,115,06-01-2025 04:00,06-01-2025 14:00,Scheduled Maintenance
224,144,22-07-2025 18:00,23-07-2025 01:00,Gearbox Failure
225,28,12-12-2025 23:00,13-12-2025 03:00,Scheduled Maintenance
226,103,26-02-2025 02:00,26-02-2025 13:00,Scheduled Maintenance
227,139,20-04-2025 20:00,20-04-2025 21:00,Generator Failure
228,99,20-11-2025 17:00,20-11-2025 23:00,Scheduled Maintenance
229,6,11-09-2025 03:00,11-09-2025 05:00,Blade Inspection
230,136,15-02-2025 21:00,16-02-2025 08:00,Sensor Fault
231,113,07-03-2025 22:00,08-03-2025 05:00,Scheduled Maintenance
232,12,30-08-2025 17:00,30-08-2025 20:00,Blade Inspection
233,11,16-02-2025 17:00,16-02-2025 19:00,Generator Failure
234,13,01-08-2025 03:00,01-08-2025 11:00,Generator Failure
235,17,31-01-2025 12:00,31-01-2025 14:00,Generator Failure
236,149,06-06-2025 00:00,06-06-2025 01:00,Scheduled Maintenance
237,9,17-11-2025 16:00,17-11-2025 19:00,Scheduled Maintenance
238,144,14-10-2025 22:00,15-10-2025 08:00,Scheduled Maintenance
239,14,27-02-2025 23:00,28-02-2025 08:00,Generator Failure
240,29,14-10-2025 00:00,14-10-2025 07:00,Scheduled Maintenance
241,71,21-12-2025 23:00,22-12-2025 02:00,Scheduled Maintenance
242,132,10-09-2025 03:00,10-09-2025 06:00,Scheduled Maintenance
243,110,07-04-2025 01:00,07-04-2025 12:00,Blade Inspection
244,127,07-12-2025 00:00,07-12-2025 04:00,Scheduled Maintenance
245,40,08-05-2025 13:00,08-05-2025 19:00,Sensor Fault
246,125,23-11-2025 11:00,23-11-2025 17:00,Sensor Fault
247,119,07-07-2025 06:00,07-07-2025 14:00,Scheduled Maintenance
248,6,28-05-2025 22:00,29-05-2025 05:00,Scheduled Maintenance
249,121,03-04-2025 14:00,04-04-2025 00:00,Gearbox Failure
250,80,12-01-2025 17:00,12-01-2025 21:00,Scheduled Maintenance
251,46,11-01-2025 02:00,11-01-2025 08:00,Generator Failure
252,140,07-01-2025 13:00,07-01-2025 19:00,Blade Inspection
253,143,21-06-2025 00:00,21-06-2025 07:00,Scheduled Maintenance
254,90,21-07-2025 08:00,21-07-2025 17:00,Sensor Fault
255,7,16-01-2025 19:00,16-01-2025 20:00,Blade Inspection
256,75,27-11-2025 20:00,28-11-2025 04:00,Blade Inspection
257,17,10-04-2025 17:00,10-04-2025 22:00,Gearbox Failure
258,110,28-12-2025 00:00,28-12-2025 10:00,Scheduled Maintenance
259,6,14-06-2025 06:00,14-06-2025 14:00,Scheduled Maintenance
260,33,19-06-2025 11:00,19-06-2025 12:00,Generator Failure
261,54,12-08-2025 06:00,12-08-2025 10:00,Scheduled Maintenance
262,105,28-04-2025 07:00,28-04-2025 17:00,Sensor Fault
263,72,17-01-2025 19:00,18-01-2025 02:00,Blade Inspection
264,34,24-09-2025 17:00,25-09-2025 04:00,Blade Inspection
265,9,02-04-2025 21:00,03-04-2025 03:00,Generator Failure
266,91,28-06-2025 20:00,28-06-2025 21:00,Gearbox Failure
267,61,01-12-2025 09:00,01-12-2025 17:00,Generator Failure
268,64,12-07-2025 17:00,12-07-2025 20:00,Scheduled Maintenance
269,88,03-12-2025 14:00,03-12-2025 15:00,Gearbox Failure
270,95,25-03-2025 21:00,26-03-2025 08:00,Sensor Fault
271,52,08-06-2025 10:00,08-06-2025 13:00,Blade Inspection
272,42,15-07-2025 15:00,15-07-2025 17:00,Gearbox Failure
273,91,01-06-2025 14:00,01-06-2025 23:00,Blade Inspection
274,106,28-02-2025 14:00,28-02-2025 17:00,Blade Inspection
275,54,17-01-2025 16:00,17-01-2025 23:00,Generator Failure
276,77,23-03-2025 13:00,24-03-2025 00:00,Sensor Fault
277,150,12-08-2025 10:00,12-08-2025 20:00,Gearbox Failure
278,96,17-02-2025 05:00,17-02-2025 10:00,Blade Inspection
279,15,26-03-2025 05:00,26-03-2025 12:00,Sensor Fault
280,112,02-01-2025 14:00,02-01-2025 21:00,Blade Inspection
281,62,18-01-2025 22:00,19-01-2025 09:00,Gearbox Failure
282,70,11-04-2025 23:00,12-04-2025 10:00,Sensor Fault
283,14,23-12-2025 16:00,23-12-2025 18:00,Gearbox Failure
284,13,08-07-2025 09:00,08-07-2025 20:00,Sensor Fault
285,30,07-05-2025 07:00,07-05-2025 09:00,Gearbox Failure
286,97,09-09-2025 19:00,10-09-2025 01:00,Generator Failure
287,14,14-03-2025 06:00,14-03-2025 08:00,Gearbox Failure
288,85,10-10-2025 16:00,10-10-2025 23:00,Sensor Fault
289,82,26-09-2025 01:00,26-09-2025 06:00,Generator Failure
290,125,03-01-2025 09:00,03-01-2025 19:00,Generator Failure
291,31,11-09-2025 03:00,11-09-2025 05:00,Scheduled Maintenance
292,86,11-12-2025 22:00,12-12-2025 01:00,Scheduled Maintenance
293,87,11-10-2025 09:00,11-10-2025 18:00,Generator Failure
294,117,13-06-2025 16:00,13-06-2025 22:00,Generator Failure
295,41,26-12-2025 00:00,26-12-2025 10:00,Sensor Fault
296,79,28-08-2025 00:00,28-08-2025 01:00,Blade Inspection
297,44,30-06-2025 16:00,01-07-2025 01:00,Blade Inspection
298,59,06-12-2025 17:00,06-12-2025 19:00,Sensor Fault
299,68,11-12-2025 12:00,11-12-2025 19:00,Sensor Fault
300,109,23-05-2025 02:00,23-05-2025 03:00,Sensor Fault
301,14,24-03-2025 10:00,24-03-2025 12:00,Generator Failure
302,128,07-08-2025 12:00,07-08-2025 22:00,Scheduled Maintenance
303,90,18-05-2025 07:00,18-05-2025 08:00,Blade Inspection
304,147,29-06-2025 21:00,30-06-2025 01:00,Scheduled Maintenance
305,17,24-02-2025 10:00,24-02-2025 16:00,Blade Inspection
306,3,25-10-2025 16:00,25-10-2025 22:00,Generator Failure
307,6,11-02-2025 02:00,11-02-2025 12:00,Generator Failure
308,140,08-05-2025 12:00,08-05-2025 20:00,Generator Failure
309,143,12-04-2025 14:00,12-04-2025 21:00,Blade Inspection
310,22,01-10-2025 08:00,01-10-2025 19:00,Generator Failure
311,20,17-04-2025 13:00,17-04-2025 19:00,Sensor Fault
312,121,08-01-2025 16:00,08-01-2025 18:00,Sensor Fault
313,127,24-02-2025 03:00,24-02-2025 08:00,Scheduled Maintenance
314,122,02-08-2025 17:00,03-08-2025 00:00,Generator Failure
315,33,19-11-2025 19:00,19-11-2025 20:00,Sensor Fault
316,81,24-06-2025 12:00,24-06-2025 23:00,Sensor Fault
317,17,11-09-2025 13:00,11-09-2025 16:00,Scheduled Maintenance
318,109,23-10-2025 13:00,23-10-2025 17:00,Gearbox Failure
319,76,15-04-2025 08:00,15-04-2025 12:00,Gearbox Failure
320,79,11-10-2025 11:00,11-10-2025 21:00,Scheduled Maintenance
321,96,05-05-2025 12:00,05-05-2025 15:00,Gearbox Failure
322,145,27-07-2025 03:00,27-07-2025 10:00,Gearbox Failure
323,82,26-11-2025 11:00,26-11-2025 17:00,Blade Inspection
324,24,14-04-2025 18:00,15-04-2025 01:00,Gearbox Failure
325,24,20-07-2025 07:00,20-07-2025 11:00,Generator Failure
326,84,02-02-2025 06:00,02-02-2025 12:00,Scheduled Maintenance
327,145,20-10-2025 12:00,20-10-2025 15:00,Blade Inspection
328,30,07-12-2025 13:00,07-12-2025 21:00,Scheduled Maintenance
329,106,21-05-2025 05:00,21-05-2025 15:00,Scheduled Maintenance
330,45,16-06-2025 18:00,17-06-2025 02:00,Sensor Fault
331,95,25-11-2025 23:00,26-11-2025 00:00,Sensor Fault
332,56,19-10-2025 10:00,19-10-2025 12:00,Gearbox Failure
333,67,28-03-2025 19:00,28-03-2025 21:00,Sensor Fault
334,10,31-05-2025 01:00,31-05-2025 09:00,Gearbox Failure
335,13,26-03-2025 23:00,27-03-2025 00:00,Gearbox Failure
336,31,26-07-2025 09:00,26-07-2025 20:00,Sensor Fault
337,46,02-10-2025 17:00,02-10-2025 20:00,Scheduled Maintenance
338,71,11-02-2025 13:00,11-02-2025 17:00,Generator Failure
339,40,28-05-2025 16:00,29-05-2025 01:00,Sensor Fault
340,24,24-01-2025 23:00,25-01-2025 02:00,Blade Inspection
341,77,23-03-2025 23:00,24-03-2025 10:00,Gearbox Failure
342,20,04-06-2025 09:00,04-06-2025 16:00,Blade Inspection
343,72,15-12-2025 14:00,15-12-2025 22:00,Gearbox Failure
344,14,09-02-2025 23:00,10-02-2025 05:00,Generator Failure
345,65,20-01-2025 12:00,20-01-2025 18:00,Blade Inspection
346,102,29-10-2025 12:00,29-10-2025 21:00,Gearbox Failure
347,16,24-06-2025 15:00,25-06-2025 01:00,Generator Failure
348,131,31-03-2025 19:00,31-03-2025 21:00,Blade Inspection
349,137,21-09-2025 11:00,21-09-2025 17:00,Gearbox Failure
350,42,20-07-2025 02:00,20-07-2025 09:00,Sensor Fault
351,14,10-10-2025 22:00,11-10-2025 00:00,Generator Failure
352,112,12-08-2025 04:00,12-08-2025 09:00,Generator Failure
353,33,20-10-2025 15:00,20-10-2025 16:00,Blade Inspection
354,86,06-12-2025 10:00,06-12-2025 12:00,Generator Failure
355,17,31-01-2025 10:00,31-01-2025 12:00,Generator Failure
356,142,26-06-2025 06:00,26-06-2025 08:00,Blade Inspection
357,76,18-03-2025 13:00,18-03-2025 18:00,Generator Failure
358,64,04-12-2025 19:00,05-12-2025 00:00,Gearbox Failure
359,58,30-01-2025 18:00,30-01-2025 19:00,Sensor Fault
360,95,01-07-2025 19:00,01-07-2025 21:00,Gearbox Failure
361,133,28-05-2025 03:00,28-05-2025 09:00,Blade Inspection
362,131,09-06-2025 04:00,09-06-2025 07:00,Gearbox Failure
363,16,23-04-2025 05:00,23-04-2025 14:00,Scheduled Maintenance
364,108,24-12-2025 21:00,25-12-2025 01:00,Sensor Fault
365,75,03-01-2025 01:00,03-01-2025 12:00,Scheduled Maintenance
366,12,31-03-2025 04:00,31-03-2025 09:00,Generator Failure
367,124,07-10-2025 23:00,08-10-2025 03:00,Scheduled Maintenance
368,67,24-06-2025 05:00,24-06-2025 11:00,Scheduled Maintenance
369,84,26-12-2025 07:00,26-12-2025 16:00,Gearbox Failure
370,1,25-10-2025 12:00,25-10-2025 13:00,Generator Failure
371,21,03-06-2025 03:00,03-06-2025 14:00,Blade Inspection
372,143,18-04-2025 09:00,18-04-2025 11:00,Gearbox Failure
373,99,18-09-2025 06:00,18-09-2025 14:00,Sensor Fault
374,14,26-06-2025 18:00,26-06-2025 21:00,Blade Inspection
375,113,23-05-2025 17:00,23-05-2025 20:00,Scheduled Maintenance
376,116,23-11-2025 21:00,24-11-2025 00:00,Gearbox Failure
377,11,22-04-2025 05:00,22-04-2025 08:00,Gearbox Failure
378,51,20-01-2025 13:00,20-01-2025 22:00,Blade Inspection
379,111,05-07-2025 07:00,05-07-2025 10:00,Gearbox Failure
380,145,18-07-2025 16:00,18-07-2025 22:00,Gearbox Failure
381,55,12-06-2025 22:00,13-06-2025 04:00,Sensor Fault
382,115,18-02-2025 13:00,18-02-2025 22:00,Scheduled Maintenance
383,36,31-08-2025 04:00,31-08-2025 05:00,Sensor Fault
384,150,21-08-2025 11:00,21-08-2025 19:00,Scheduled Maintenance
385,17,06-04-2025 21:00,07-04-2025 05:00,Blade Inspection
386,111,11-06-2025 16:00,11-06-2025 23:00,Blade Inspection
387,56,31-01-2025 20:00,01-02-2025 01:00,Sensor Fault
388,70,20-11-2025 15:00,21-11-2025 00:00,Sensor Fault
389,115,17-08-2025 11:00,17-08-2025 21:00,Generator Failure
390,119,08-11-2025 07:00,08-11-2025 08:00,Sensor Fault
391,45,27-07-2025 16:00,27-07-2025 22:00,Sensor Fault
392,86,23-07-2025 05:00,23-07-2025 13:00,Blade Inspection
393,19,11-05-2025 17:00,12-05-2025 00:00,Sensor Fault
394,76,18-09-2025 20:00,19-09-2025 05:00,Scheduled Maintenance
395,35,28-06-2025 19:00,28-06-2025 20:00,Gearbox Failure
396,82,01-06-2025 18:00,01-06-2025 20:00,Sensor Fault
397,145,09-10-2025 23:00,10-10-2025 10:00,Gearbox Failure
398,53,12-03-2025 11:00,12-03-2025 13:00,Sensor Fault
399,58,15-11-2025 02:00,15-11-2025 05:00,Gearbox Failure
400,119,21-12-2025 11:00,21-12-2025 22:00,Generator Failure
401,145,08-01-2025 03:00,08-01-2025 14:00,Generator Failure
402,65,20-04-2025 20:00,21-04-2025 05:00,Blade Inspection
