MaintenanceID,TurbineID,MaintenanceDate,MaintenanceType,Cost
105,1,2025-02-15,Preventive,929.65
106,104,2025-05-03,Preventive,713.84
107,57,2025-04-18,Preventive,5212.9
108,86,2025-09-02,Corrective,7191.78
109,5,2025-03-05,Preventive,5810.15
110,149,2025-01-02,Preventive,2941.09
111,122,2025-08-24,Corrective,1986.3
112,21,2025-09-27,Corrective,9395.81
113,139,2025-07-16,Corrective,3773.82
114,55,2025-03-24,Preventive,1532.58
115,71,2025-04-20,Corrective,6136.6
116,8,2025-05-26,Preventive,1373.7
117,97,2025-11-29,Corrective,5576.23
118,145,2025-09-20,Preventive,7036.31
119,118,2025-06-27,Corrective,7547.58
120,96,2025-12-13,Preventive,8098.76
121,115,2025-09-03,Corrective,1020.76
122,133,2025-08-19,Preventive,4483.53
123,55,2025-02-21,Corrective,7156.51
124,32,2025-09-27,Preventive,3220.8
125,15,2025-02-01,Preventive,3289.21
126,2,2025-09-11,Preventive,1921.79
127,48,2025-08-21,Corrective,530.99
128,53,2025-05-03,Preventive,7513.72
129,5,2025-05-15,Corrective,3267.3
130,30,2025-07-19,Corrective,8195.11
131,23,2025-02-14,Preventive,2622.58
132,84,2025-05-10,Corrective,8551.98
133,123,2025-11-04,Preventive,8920.68
134,71,2025-04-24,Preventive,9087.73
135,109,2025-02-28,Preventive,7928.41
136,19,2025-10-09,Preventive,1138.4
137,109,2025-05-22,Corrective,3425.84
138,92,2025-03-27,Corrective,5701.3
139,24,2025-09-10,Corrective,6365.49
140,124,2025-12-22,Corrective,5325.3
141,140,2025-01-03,Preventive,5554.5
142,88,2025-02-14,Corrective,1125.84
143,21,2025-04-20,Corrective,5282.31
144,92,2025-06-05,Corrective,2649.18
145,76,2025-08-15,Preventive,4134.98
146,17,2025-09-25,Preventive,2792.77
147,147,2025-11-29,Preventive,4678.24
148,41,2025-10-18,Preventive,2490.47
149,69,2025-11-22,Preventive,9287.31
150,138,2025-12-02,Preventive,1260.36
151,117,2025-02-12,Preventive,8962.63
152,114,2025-04-20,Preventive,7984.24
153,80,2025-01-27,Preventive,2866.59
154,132,2025-03-13,Preventive,7860.66
155,4,2025-02-22,Corrective,6242.37
156,93,2025-01-05,Preventive,6854.01
157,122,2025-08-01,Preventive,3779.54
158,133,2025-05-14,Preventive,829.67
159,118,2025-04-10,Preventive,2422.08
160,112,2025-01-11,Preventive,3426.81
161,25,2025-07-25,Preventive,4024.4
162,11,2025-09-06,Preventive,7823.54
163,143,2025-11-05,Corrective,6739.1
164,122,2025-01-02,Preventive,5697.4
165,75,2025-08-04,Preventive,4331.91
166,53,2025-02-12,Preventive,6969.76
167,86,2025-10-09,Corrective,1721.53
168,85,2025-09-02,Preventive,7443.39
169,110,2025-01-25,Corrective,9126.33
170,35,2025-05-18,Preventive,2807.15
171,50,2025-07-27,Corrective,9112.97
172,41,2025-07-31,Corrective,6986.82
173,54,2025-11-09,Corrective,2866.67
174,13,2025-12-30,Preventive,7567.92
175,30,2025-05-30,Corrective,8302.43
176,42,2025-05-30,Preventive,9393.66
177,13,2025-11-21,Preventive,7637.06
178,87,2025-10-04,Corrective,8634.88
179,84,2025-06-02,Preventive,6164.93
180,16,2025-04-12,Preventive,5105.46
181,58,2025-07-11,Corrective,1253.1
182,52,2025-08-25,Preventive,2735.07
183,141,2025-02-20,Corrective,8825.49
184,69,2025-03-24,Corrective,7945.28
185,76,2025-06-10,Corrective,3803.83
186,39,2025-03-20,Corrective,1016.91
187,90,2025-03-09,Preventive,3640.99
188,100,2025-09-03,Corrective,4619.91
189,37,2025-07-21,Preventive,2372.98
190,69,2025-04-02,Preventive,5977.96
191,138,2025-04-17,Preventive,9817.32
192,124,2025-05-28,Corrective,3095.15
193,11,2025-02-01,Preventive,7774.5
194,145,2025-03-09,Preventive,2752.49
195,61,2025-12-02,Corrective,6510.79
196,144,2025-06-01,Corrective,2505.05
197,61,2025-01-13,Preventive,7322.65
198,124,2025-11-04,Preventive,6964.7
199,104,2025-12-28,Corrective,7273.22
200,69,2025-07-25,Corrective,9941.78
201,104,2025-01-17,Corrective,4886.09
202,102,2025-11-27,Preventive,3821.3
203,52,2025-04-18,Preventive,1233.55
204,87,2025-11-29,Preventive,584.13
205,99,2025-02-03,Preventive,3541.09
206,150,2025-12-04,Corrective,8270.49
207,54,2025-09-17,Corrective,1584.42
208,26,2025-04-12,Corrective,7184.44
209,132,2025-02-21,Preventive,8063.06
210,97,2025-11-20,Corrective,3055.37
211,77,2025-05-02,Corrective,5461.53
212,93,2025-08-15,Preventive,4328.26
213,81,2025-06-13,Corrective,2465.13
214,112,2025-04-09,Corrective,9703.12
215,42,2025-11-25,Corrective,5926.04
216,19,2025-07-15,Preventive,7516.33
217,121,2025-10-14,Preventive,7215.56
218,23,2025-12-13,Corrective,4903.97
219,25,2025-10-31,Preventive,6770.32
220,137,2025-11-05,Preventive,3404.98
221,107,2025-12-16,Corrective,5094.29
222,55,2025-01-16,Corrective,6731.04
223,30,2025-07-31,Preventive,7981.96
224,128,2025-05-25,Preventive,4801.82
225,56,2025-02-22,Corrective,9013.17
226,32,2025-01-14,Corrective,5167.0
227,115,2025-01-14,Corrective,9528.61
228,9,2025-12-04,Corrective,1957.93
229,122,2025-05-09,Corrective,7109.4
230,60,2025-05-24,Preventive,6883.25
231,28,2025-01-02,Preventive,6181.15
232,22,2025-02-25,Preventive,1746.74
233,48,2025-09-21,Corrective,4839.78
234,146,2025-10-21,Preventive,9115.7
235,39,2025-03-06,Corrective,6670.33
236,50,2025-01-27,Preventive,6349.99
237,61,2025-11-13,Preventive,1724.98
238,67,2025-05-28,Preventive,9619.19
239,127,2025-08-28,Preventive,3632.71
240,110,2025-12-27,Corrective,4820.61
241,19,2025-12-10,Preventive,5520.25
242,40,2025-04-21,Preventive,8455.43
243,98,2025-08-21,Corrective,8074.81
244,17,2025-05-28,Preventive,7677.31
245,129,2025-10-26,Preventive,8584.18
246,73,2025-01-12,Corrective,1735.77
247,47,2025-03-03,Corrective,6247.43
248,93,2025-02-19,Corrective,4179.9
249,104,2025-08-22,Preventive,5414.7
250,14,2025-09-18,Corrective,6800.61
251,148,2025-09-19,Corrective,8157.05
252,69,2025-04-20,Corrective,1735.62
253,42,2025-03-10,Preventive,9500.9
254,56,2025-01-17,Preventive,9800.07
255,127,2025-03-06,Corrective,2690.1
256,68,2025-09-21,Corrective,3350.79
257,10,2025-05-07,Preventive,4469.69
258,48,2025-08-09,Preventive,2674.54
259,62,2025-04-06,Corrective,5057.49
260,9,2025-12-20,Corrective,9400.69
261,107,2025-10-28,Preventive,1423.67
262,69,2025-07-16,Corrective,3225.16
263,10,2025-11-20,Preventive,1843.28
264,13,2025-02-04,Preventive,8778.11
265,102,2025-07-03,Corrective,9293.01
266,42,2025-05-03,Corrective,6621.44
267,48,2025-10-15,Preventive,3596.24
268,20,2025-03-11,Corrective,1581.85
269,9,2025-08-17,Corrective,1267.69
270,5,2025-07-20,Preventive,7468.17
271,146,2025-08-21,Preventive,9612.09
272,25,2025-04-15,Corrective,2222.89
273,75,2025-06-09,Corrective,3740.13
274,143,2025-04-11,Corrective,2051.51
275,20,2025-02-28,Corrective,5189.94
276,4,2025-08-15,Preventive,9975.61
277,100,2025-11-28,Corrective,5093.31
278,142,2025-06-23,Corrective,4087.08
279,75,2025-11-20,Preventive,3857.68
280,53,2025-09-08,Preventive,4469.87
281,38,2025-12-13,Corrective,2428.08
282,25,2025-08-29,Preventive,5205.7
283,141,2025-10-03,Preventive,7400.59
284,28,2025-02-13,Preventive,8321.26
285,9,2025-03-16,Corrective,9986.1
286,36,2025-01-21,Corrective,6858.32
287,116,2025-02-09,Preventive,7325.78
288,69,2025-06-13,Corrective,3807.83
289,77,2025-05-31,Corrective,5520.03
290,29,2025-11-27,Corrective,9660.97
291,91,2025-01-02,Preventive,8220.3
292,72,2025-10-22,Preventive,4513.54
293,40,2025-10-06,Corrective,2489.69
294,33,2025-11-18,Preventive,8343.35
295,142,2025-05-30,Preventive,4979.69
296,123,2025-12-30,Corrective,1778.96
297,79,2025-07-29,Preventive,5662.15
298,142,2025-05-29,Corrective,789.32
299,31,2025-04-19,Preventive,4461.51
300,142,2025-10-18,Preventive,7955.53
301,58,2025-03-02,Preventive,1661.43
302,86,2025-05-14,Corrective,6362.68
303,102,2025-10-07,Preventive,8953.76
304,106,2025-01-02,Preventive,1077.62
305,92,2025-07-10,Corrective,9560.97
306,14,2025-05-30,Preventive,6797.98
307,126,2025-09-19,Corrective,2659.1
308,80,2025-04-23,Corrective,5488.75
309,67,2025-01-04,Preventive,3125.02
310,25,2025-04-15,Corrective,2766.31
311,106,2025-03-27,Preventive,3505.19
312,111,2025-08-25,Preventive,1949.61
313,117,2025-01-08,Corrective,7406.33
314,121,2025-08-02,Corrective,2941.5
315,82,2025-11-17,Corrective,6747.86
316,46,2025-01-27,Preventive,9605.47
317,59,2025-09-26,Corrective,7173.06
318,149,2025-09-30,Corrective,4443.52
319,58,2025-05-09,Corrective,7109.04
320,116,2025-12-06,Corrective,6154.48
321,34,2025-04-21,Preventive,4069.25
322,54,2025-05-02,Preventive,8176.46
323,74,2025-12-26,Corrective,5961.02
324,127,2025-08-14,Preventive,8253.33
325,66,2025-10-24,Preventive,1307.18
326,35,2025-03-16,Corrective,851.18
327,91,2025-05-07,Corrective,1179.75
328,131,2025-02-15,Preventive,9525.88
329,124,2025-06-05,Corrective,4428.62
330,114,2025-01-05,Corrective,1379.3
331,14,2025-02-19,Corrective,7729.76
332,104,2025-09-09,Preventive,4878.46
333,110,2025-08-04,Preventive,8710.06
334,73,2025-01-18,Preventive,7807.81
335,26,2025-11-04,Preventive,9842.73
336,120,2025-04-25,Corrective,9817.35
337,103,2025-10-13,Preventive,1873.77
338,118,2025-06-23,Corrective,8438.43
339,108,2025-05-25,Corrective,7250.47
340,37,2025-02-10,Corrective,868.18
341,128,2025-11-28,Corrective,6132.08
342,87,2025-10-08,Preventive,3882.48
343,140,2025-05-10,Preventive,3205.2
344,85,2025-12-24,Preventive,9688.56
345,69,2025-04-05,Preventive,3711.19
346,135,2025-08-24,Preventive,3294.46
347,104,2025-03-15,Corrective,5691.21
348,135,2025-06-10,Preventive,9679.89
349,107,2025-06-25,Corrective,4309.51
350,31,2025-07-25,Preventive,6715.53
351,21,2025-12-08,Preventive,4768.5
352,135,2025-07-26,Corrective,2626.5
353,118,2025-06-27,Corrective,8673.07
354,109,2025-10-04,Preventive,8642.84
355,120,2025-06-20,Preventive,2424.01
356,101,2025-01-12,Preventive,9547.67
357,106,2025-02-11,Corrective,8452.35
358,140,2025-12-30,Corrective,6159.68
359,111,2025-05-25,Corrective,3590.19
360,100,2025-09-19,Preventive,1986.94
361,132,2025-09-28,Preventive,8736.53
362,27,2025-10-23,Corrective,6605.62
363,54,2025-09-23,Preventive,6517.2
364,55,2025-07-04,Corrective,2732.74
365,97,2025-07-13,Preventive,9709.76
366,55,2025-04-29,Preventive,1023.77
367,66,2025-03-22,Corrective,3661.21
368,138,2025-08-16,Preventive,4807.02
369,95,2025-04-05,Preventive,4843.78
370,81,2025-05-30,Corrective,7239.9
371,49,2025-01-15,Corrective,7605.6
372,25,2025-04-23,Preventive,5961.43
373,95,2025-04-15,Preventive,3111.2
374,27,2025-07-24,Preventive,1776.5
375,14,2025-03-04,Preventive,4644.92
376,71,2025-08-09,Corrective,4097.49
377,84,2025-11-15,Preventive,2626.22
378,9,2025-11-05,Preventive,2360.77
379,114,2025-08-12,Corrective,8821.03
380,111,2025-04-24,Corrective,2084.12
381,85,2025-05-03,Preventive,8926.17
382,5,2025-08-21,Preventive,2674.57
383,51,2025-01-19,Preventive,7940.11
384,133,2025-11-27,Preventive,9668.05
385,54,2025-02-10,Preventive,9206.15
386,80,2025-05-27,Corrective,3227.05
387,101,2025-12-02,Preventive,703.03
388,34,2025-12-13,Preventive,5403.82
389,99,2025-08-27,Preventive,3001.49
390,61,2025-07-13,Corrective,8346.1
391,131,2025-08-07,Preventive,3902.26
392,7,2025-12-28,Preventive,7681.05
393,139,2025-09-26,Corrective,6820.13
394,140,2025-01-26,Corrective,2291.67
395,140,2025-09-06,Corrective,1337.4
396,34,2025-01-01,Preventive,2683.75
397,11,2025-10-18,Preventive,4305.44
398,95,2025-12-15,Corrective,6170.8
399,66,2025-12-07,Preventive,8191.18
400,118,2025-10-14,Preventive,8522.69
401,63,2025-09-03,Corrective,3640.62
402,90,2025-10-09,Preventive,6893.44
403,58,2025-03-04,Corrective,6096.49
404,141,2025-10-28,Preventive,5971.8
405,121,2025-05-10,Corrective,9931.09
406,126,2025-02-18,Preventive,574.73
407,99,2025-08-13,Corrective,3848.85
408,60,2025-11-01,Preventive,771.26
409,112,2025-09-02,Preventive,3559.16
410,130,2025-05-18,Corrective,8959.97
411,116,2025-04-10,Preventive,8166.0
412,73,2025-03-22,Corrective,1552.16
413,103,2025-12-24,Corrective,5969.75
414,149,2025-03-12,Preventive,8236.33
415,69,2025-03-16,Preventive,4446.43
416,144,2025-07-17,Corrective,1469.17
417,114,2025-04-28,Corrective,8123.17
418,22,2025-08-04,Corrective,5346.77
419,17,2025-03-22,Preventive,9065.89
420,75,2025-05-12,Preventive,7535.61
421,42,2025-08-14,Preventive,2686.92
422,11,2025-01-17,Corrective,8994.12
423,12,2025-04-21,Corrective,2178.18
424,88,2025-10-07,Preventive,5535.52
425,92,2025-04-29,Preventive,7852.88
426,80,2025-04-24,Preventive,2145.06
427,110,2025-09-20,Corrective,2671.58
428,129,2025-07-05,Corrective,2190.9
429,66,2025-09-19,Corrective,8953.39
430,112,2025-01-26,Preventive,6483.23
431,58,2025-07-27,Preventive,9442.55
432,141,2025-10-19,Preventive,2901.97
433,32,2025-04-25,Corrective,1055.06
434,9,2025-02-28,Corrective,4180.41
435,25,2025-04-11,Preventive,6212.69
436,81,2025-04-24,Corrective,3246.6
437,95,2025-12-04,Corrective,3822.23
438,111,2025-02-25,Corrective,4253.25
439,36,2025-10-08,Corrective,2712.63
440,35,2025-12-22,Preventive,8451.22
441,49,2025-09-20,Preventive,1030.89
442,27,2025-01-16,Preventive,3664.38
443,47,2025-01-22,Corrective,5184.66
444,45,2025-11-17,Corrective,6677.31
445,22,2025-01-20,Preventive,896.27
446,9,2025-02-09,Corrective,7730.91
447,17,2025-12-12,Corrective,2623.61
448,105,2025-01-26,Corrective,5435.53
449,9,2025-07-05,Corrective,9199.7
450,40,2025-04-01,Preventive,5443.07
451,85,2025-07-21,Preventive,9741.39
452,2,2025-01-01,Preventive,8618.78
453,86,2025-07-23,Preventive,5725.09
454,103,2025-08-20,Corrective,6240.8
455,111,2025-11-05,Preventive,8993.09
456,91,2025-09-21,Preventive,891.84
457,76,2025-06-20,Preventive,4545.92
458,31,2025-12-21,Corrective,7056.38
459,117,2025-08-01,Preventive,1715.59
460,132,2025-01-05,Corrective,8954.56
461,38,2025-07-16,Preventive,5634.85
462,27,2025-08-03,Preventive,6028.13
463,42,2025-02-05,Preventive,5969.38
464,141,2025-04-15,Corrective,5281.14
465,135,2025-01-06,Corrective,7685.01
466,2,2025-11-29,Preventive,7960.79
467,76,2025-11-26,Corrective,9216.04
468,73,2025-02-12,Preventive,1487.24
469,134,2025-01-12,Preventive,4687.43
470,118,2025-07-10,Preventive,2117.49
471,124,2025-10-07,Preventive,3857.17
472,110,2025-05-31,Corrective,1338.66
473,42,2025-01-30,Preventive,8409.37
474,124,2025-03-11,Preventive,1101.76
475,79,2025-04-13,Preventive,3859.67
476,110,2025-04-04,Preventive,8673.91
477,103,2025-03-28,Preventive,8666.86
478,110,2025-09-29,Preventive,9721.86
479,106,2025-08-22,Preventive,1904.6
480,77,2025-03-22,Preventive,1593.65
481,66,2025-01-27,Corrective,4358.43
482,115,2025-12-29,Preventive,2344.22
483,22,2025-12-29,Corrective,8367.66
484,105,2025-05-10,Preventive,6808.46
485,8,2025-06-05,Corrective,4494.7
486,38,2025-09-21,Corrective,2896.47
487,112,2025-06-23,Preventive,7755.95
488,85,2025-09-02,Preventive,2959.8
489,77,2025-09-17,Corrective,9330.68
490,22,2025-10-25,Corrective,9697.17
491,109,2025-03-21,Preventive,2808.63
492,77,2025-09-16,Corrective,7348.96
493,13,2025-06-15,Preventive,6168.19
494,32,2025-10-14,Corrective,2427.96
495,27,2025-06-17,Preventive,4579.58
496,128,2025-12-02,Corrective,9493.07
497,43,2025-02-27,Preventive,3816.93
498,135,2025-08-03,Corrective,9611.51
499,32,2025-03-30,Corrective,5605.83
500,39,2025-12-09,Preventive,674.04
501,118,2025-10-11,Preventive,7343.2
502,132,2025-09-25,Preventive,8901.08
503,123,2025-10-09,Preventive,4171.54
504,98,2025-11-28,Corrective,4390.5
505,142,2025-06-01,Preventive,2861.28
506,58,2025-04-03,Preventive,6796.09
507,50,2025-12-18,Preventive,6976.05
508,99,2025-07-31,Preventive,5371.58
509,100,2025-04-19,Preventive,4047.1
510,36,2025-05-15,Corrective,854.54
511,142,2025-10-02,Preventive,3090.58
512,86,2025-08-03,Corrective,3121.08
513,94,2025-04-26,Corrective,7128.41
514,126,2025-02-15,Corrective,2662.56
515,103,2025-09-23,Preventive,1248.55
516,33,2025-10-26,Corrective,8187.37
517,150,2025-07-16,Corrective,1345.92
518,148,2025-10-14,Corrective,1473.86
519,101,2025-04-04,Corrective,6767.02
520,115,2025-01-31,Corrective,4619.31
521,97,2025-08-10,Preventive,8906.9
522,113,2025-10-18,Preventive,8894.44
523,85,2025-04-23,Corrective,539.49
524,37,2025-09-23,Corrective,8718.57
525,35,2025-10-28,Preventive,2111.63
526,135,2025-10-12,Corrective,7425.96
527,60,2025-02-12,Preventive,6623.86
528,55,2025-04-30,Corrective,644.71
529,137,2025-04-09,Corrective,2266.47
530,70,2025-08-10,Preventive,2570.11
531,85,2025-03-19,Preventive,2007.6
532,37,2025-12-06,Preventive,2112.12
533,120,2025-01-09,Preventive,6440.44
534,86,2025-07-29,Preventive,5103.03
535,118,2025-10-24,Corrective,3685.23
536,90,2025-04-13,Preventive,4633.59
537,14,2025-07-07,Corrective,2889.22
538,56,2025-04-11,Corrective,8229.17
539,87,2025-09-06,Preventive,3852.88
540,118,2025-05-13,Corrective,1777.16
541,107,2025-10-11,Preventive,2771.79
542,11,2025-03-22,Corrective,2669.87
543,149,2025-04-25,Corrective,3992.62
544,7,2025-07-13,Corrective,1391.18
545,26,2025-07-16,Preventive,9880.01
546,48,2025-09-25,Preventive,5752.94
547,19,2025-07-05,Preventive,1849.62
548,57,2025-04-16,Preventive,2662.94
549,146,2025-01-15,Preventive,6478.0
550,25,2025-09-10,Corrective,6618.84
551,97,2025-10-21,Preventive,5577.0
552,146,2025-02-19,Preventive,8262.77
553,32,2025-08-15,Corrective,5843.11
554,56,2025-01-30,Preventive,5246.65
555,88,2025-04-28,Preventive,3377.53
556,8,2025-05-01,Preventive,9775.9
557,145,2025-08-31,Preventive,5310.11
558,80,2025-10-09,Corrective,5086.44
559,32,2025-01-03,Preventive,9730.86
560,76,2025-03-04,Preventive,8098.0
561,7,2025-09-18,Corrective,672.78
562,58,2025-02-13,Preventive,7318.18
563,112,2025-11-22,Preventive,2953.6
564,7,2025-06-02,Corrective,6473.18
565,86,2025-05-24,Preventive,507.52
566,19,2025-07-18,Corrective,9486.54
567,142,2025-07-31,Preventive,1949.02
568,33,2025-06-24,Preventive,1645.87
569,78,2025-09-23,Preventive,1190.32
570,74,2025-05-10,Preventive,2726.76
571,88,2025-06-29,Corrective,6710.02
572,68,2025-04-28,Preventive,5772.44
573,96,2025-08-24,Preventive,8856.76
574,122,2025-03-08,Preventive,8787.2
575,90,2025-07-10,Preventive,2333.48
576,47,2025-06-07,Preventive,6695.91
577,129,2025-10-15,Corrective,1783.23
578,22,2025-05-26,Preventive,5467.49
579,143,2025-06-28,Corrective,5846.15
580,102,2025-11-01,Preventive,7990.52
581,101,2025-09-02,Preventive,6368.5
582,94,2025-08-01,Preventive,1738.22
583,59,2025-04-25,Preventive,5272.16
584,8,2025-05-02,Corrective,2978.55
585,26,2025-01-23,Corrective,7097.79
586,18,2025-04-16,Preventive,9496.25
587,96,2025-05-05,Corrective,5974.44
588,7,2025-10-25,Corrective,7769.9
589,19,2025-03-30,Preventive,7635.23
590,107,2025-07-10,Preventive,888.7
591,61,2025-02-27,Preventive,3964.13
592,132,2025-09-20,Corrective,1908.15
593,87,2025-10-29,Corrective,8191.25
594,2,2025-07-18,Preventive,3520.85
595,105,2025-08-11,Preventive,4980.36
596,1,2025-12-04,Preventive,7535.86
597,111,2025-06-28,Corrective,1225.54
598,85,2025-07-07,Corrective,7049.7
599,110,2025-01-04,Corrective,4608.89
600,89,2025-07-19,Corrective,7832.19
601,140,2025-01-27,Corrective,1601.77
602,148,2025-12-18,Preventive,3671.46
603,85,2025-01-26,Corrective,9796.73
604,83,2025-03-28,Corrective,8664.56
605,56,2025-12-26,Preventive,4909.04
606,15,2025-09-08,Corrective,1074.21
607,12,2025-12-11,Corrective,7719.1
608,137,2025-03-09,Corrective,9703.13
609,150,2025-06-14,Corrective,6792.91
610,110,2025-04-28,Preventive,7269.02
611,148,2025-04-25,Preventive,7562.22
612,8,2025-11-10,Preventive,7506.86
613,117,2025-07-05,Preventive,8946.8
614,9,2025-07-03,Corrective,4198.27
615,2,2025-12-08,Corrective,8125.1
616,23,2025-08-11,Preventive,2252.17
617,145,2025-06-11,Preventive,9053.41
618,39,2025-05-05,Corrective,7229.93
619,127,2025-08-22,Preventive,3309.67
620,18,2025-01-20,Corrective,8681.28
621,126,2025-06-24,Corrective,1919.57
622,149,2025-05-23,Corrective,5702.91
623,90,2025-09-11,Corrective,2759.18
624,66,2025-07-16,Preventive,9414.67
625,132,2025-11-10,Preventive,7739.03
626,5,2025-01-20,Preventive,5978.01
627,127,2025-03-20,Corrective,9580.32
628,30,2025-06-04,Preventive,653.28
629,112,2025-12-25,Corrective,7118.27
630,40,2025-03-30,Preventive,4201.68
631,52,2025-10-24,Preventive,7921.25
632,9,2025-12-19,Preventive,8615.46
633,34,2025-12-26,Preventive,1268.41
634,129,2025-10-10,Corrective,663.84
635,9,2025-10-30,Preventive,1865.75
636,94,2025-10-12,Corrective,7076.88
637,30,2025-05-31,Corrective,8882.23
638,21,2025-01-13,Corrective,9498.0
639,115,2025-03-16,Corrective,6367.57
640,41,2025-04-18,Corrective,681.12
641,120,2025-12-31,Preventive,7742.67
642,60,2025-02-11,Preventive,9952.8
643,17,2025-05-21,Preventive,4127.53
644,23,2025-03-08,Preventive,1124.07
645,19,2025-10-05,Preventive,1332.72
646,94,2025-06-27,Preventive,881.2
647,5,2025-05-07,Preventive,4405.33
648,35,2025-03-05,Corrective,5535.68
649,97,2025-09-04,Corrective,8391.2
650,78,2025-10-18,Preventive,7809.72
651,94,2025-11-25,Preventive,4227.49
652,13,2025-07-21,Preventive,9435.34
653,21,2025-10-09,Corrective,2722.72
654,34,2025-12-04,Preventive,1663.6
655,122,2025-08-13,Corrective,9528.09
656,132,2025-10-11,Corrective,3931.83
657,46,2025-09-14,Corrective,2414.12
658,149,2025-06-27,Preventive,2233.76
659,120,2025-10-31,Corrective,1374.05
660,109,2025-03-22,Preventive,2433.46
661,72,2025-02-10,Preventive,7076.65
662,30,2025-12-07,Corrective,9937.47
663,95,2025-08-25,Preventive,5683.73
664,66,2025-12-09,Corrective,4224.97
