TurbineID,TurbineName,Country,Site,CapacityMW,CommissionDate
46,WT-IND-046,India,Karnataka,3.9,2019-01-16
47,WT-IND-047,India,Gujarat,3.3,2021-01-20
48,WT-IND-048,India,Tamil Nadu,3.8,2020-01-24
49,WT-IND-049,India,Gujarat,2.7,2020-06-23
50,WT-IND-050,India,Gujarat,4.4,2018-10-23
51,WT-DEN-051,Denmark,Esbjerg,3.9,2024-03-21
52,WT-DEN-052,Denmark,Esbjerg,4.4,2019-10-27
53,WT-DEN-053,Denmark,Aarhus,3.9,2023-05-01
54,WT-DEN-054,Denmark,Odense,3.0,2021-01-28
55,WT-DEN-055,Denmark,Aarhus,4.3,2018-08-29
56,WT-DEN-056,Denmark,Aarhus,2.9,2021-02-13
57,WT-DEN-057,Denmark,Odense,3.7,2020-02-04
58,WT-DEN-058,Denmark,Esbjerg,4.2,2019-03-18
59,WT-DEN-059,Denmark,Aarhus,3.9,2023-03-12
60,WT-DEN-060,Denmark,Esbjerg,3.8,2020-12-16
61,WT-DEN-061,Denmark,Aarhus,3.8,2021-12-31
62,WT-DEN-062,Denmark,Esbjerg,3.3,2018-07-31
63,WT-DEN-063,Denmark,Odense,3.5,2018-04-15
64,WT-DEN-064,Denmark,Aarhus,2.8,2020-04-04
65,WT-DEN-065,Denmark,Odense,3.7,2018-09-16
66,WT-DEN-066,Denmark,Odense,4.4,2019-03-03
67,WT-DEN-067,Denmark,Odense,3.2,2021-12-23
68,WT-DEN-068,Denmark,Esbjerg,2.5,2022-01-17
69,WT-DEN-069,Denmark,Aarhus,3.5,2024-07-24
70,WT-DEN-070,Denmark,Esbjerg,2.7,2023-05-11
71,WT-DEN-071,Denmark,Aarhus,3.5,2021-05-01
72,WT-DEN-072,Denmark,Esbjerg,3.6,2024-06-02
73,WT-DEN-073,Denmark,Esbjerg,3.0,2021-03-29
74,WT-DEN-074,Denmark,Odense,3.5,2020-04-08
75,WT-DEN-075,Denmark,Odense,2.5,2021-01-02
76,WT-DEN-076,Denmark,Esbjerg,4.3,2023-08-28
77,WT-DEN-077,Denmark,Esbjerg,3.6,2018-12-17
78,WT-DEN-078,Denmark,Aarhus,3.8,2018-09-29
79,WT-DEN-079,Denmark,Aarhus,3.8,2019-12-05
80,WT-DEN-080,Denmark,Odense,4.0,2022-12-23
81,WT-DEN-081,Denmark,Aarhus,4.3,2018-09-27
82,WT-DEN-082,Denmark,Odense,2.6,2019-07-30
83,WT-DEN-083,Denmark,Aarhus,3.2,2021-10-19
84,WT-DEN-084,Denmark,Aarhus,4.1,2023-09-06
85,WT-DEN-085,Denmark,Odense,4.4,2020-03-03
86,WT-DEN-086,Denmark,Esbjerg,3.5,2019-12-29
87,WT-DEN-087,Denmark,Odense,4.4,2019-10-02
88,WT-DEN-088,Denmark,Aarhus,2.6,2019-02-16
89,WT-DEN-089,Denmark,Aarhus,4.5,2020-12-23
90,WT-DEN-090,Denmark,Aarhus,4.0,2024-02-08
91,WT-DEN-091,Denmark,Odense,4.3,2024-02-05
92,WT-DEN-092,Denmark,Aarhus,3.1,2021-07-21
93,WT-DEN-093,Denmark,Aarhus,3.8,2023-04-15
94,WT-DEN-094,Denmark,Esbjerg,2.7,2020-07-23
95,WT-DEN-095,Denmark,Odense,3.0,2023-02-10
96,WT-DEN-096,Denmark,Aarhus,3.0,2024-05-31
97,WT-DEN-097,Denmark,Aarhus,4.2,2018-11-03
98,WT-DEN-098,Denmark,Odense,2.9,2019-01-19
99,WT-DEN-099,Denmark,Esbjerg,4.2,2022-02-07
100,WT-DEN-100,Denmark,Aarhus,3.1,2019-05-07
101,WT-TAI-101,Taiwan,Tainan,4.4,2023-04-28
102,WT-TAI-102,Taiwan,Taichung,2.8,2021-06-05
103,WT-TAI-103,Taiwan,Tainan,3.0,2018-02-04
104,WT-TAI-104,Taiwan,Taipei,3.9,2018-11-26
105,WT-TAI-105,Taiwan,Tainan,3.5,2018-11-01
106,WT-TAI-106,Taiwan,Tainan,3.7,2022-10-02
107,WT-TAI-107,Taiwan,Taichung,4.1,2019-05-15
108,WT-TAI-108,Taiwan,Taipei,4.0,2022-11-24
109,WT-TAI-109,Taiwan,Tainan,2.7,2018-11-24
110,WT-TAI-110,Taiwan,Taichung,3.3,2024-05-07
111,WT-TAI-111,Taiwan,Tainan,3.5,2020-01-23
112,WT-TAI-112,Taiwan,Taichung,4.4,2022-07-16
113,WT-TAI-113,Taiwan,Taichung,4.3,2019-12-18
114,WT-TAI-114,Taiwan,Taichung,3.6,2018-03-04
115,WT-TAI-115,Taiwan,Taipei,2.7,2022-05-04
116,WT-TAI-116,Taiwan,Tainan,3.3,2018-12-17
117,WT-TAI-117,Taiwan,Taipei,3.7,2024-08-12
118,WT-TAI-118,Taiwan,Taipei,4.1,2024-05-21
119,WT-TAI-119,Taiwan,Taichung,4.1,2021-03-14
120,WT-TAI-120,Taiwan,Tainan,2.7,2018-02-14
121,WT-TAI-121,Taiwan,Taipei,4.1,2023-09-05
122,WT-TAI-122,Taiwan,Taichung,3.6,2019-08-05
123,WT-TAI-123,Taiwan,Tainan,4.2,2022-02-24
124,WT-TAI-124,Taiwan,Tainan,3.3,2022-02-16
125,WT-TAI-125,Taiwan,Taipei,3.4,2020-07-24
126,WT-TAI-126,Taiwan,Taipei,4.2,2022-06-18
127,WT-TAI-127,Taiwan,Taipei,3.0,2021-02-08
128,WT-TAI-128,Taiwan,Taipei,4.0,2019-08-15
129,WT-TAI-129,Taiwan,Tainan,2.7,2023-08-04
130,WT-TAI-130,Taiwan,Tainan,3.7,2018-06-16
131,WT-TAI-131,Taiwan,Taichung,4.1,2019-01-01
132,WT-TAI-132,Taiwan,Taipei,2.8,2020-02-15
133,WT-TAI-133,Taiwan,Tainan,2.8,2024-04-21
134,WT-TAI-134,Taiwan,Taipei,2.8,2019-12-13
135,WT-TAI-135,Taiwan,Taichung,2.5,2018-10-16
136,WT-TAI-136,Taiwan,Tainan,2.8,2018-05-19
137,WT-TAI-137,Taiwan,Tainan,3.7,2018-05-14
138,WT-TAI-138,Taiwan,Taichung,3.3,2022-08-29
139,WT-TAI-139,Taiwan,Tainan,3.5,2020-03-05
140,WT-TAI-140,Taiwan,Tainan,4.2,2023-12-28
141,WT-TAI-141,Taiwan,Taichung,2.9,2018-04-19
142,WT-TAI-142,Taiwan,Tainan,3.0,2019-08-15
143,WT-TAI-143,Taiwan,Taichung,3.3,2021-11-29
144,WT-TAI-144,Taiwan,Taipei,3.2,2018-05-04
145,WT-TAI-145,Taiwan,Tainan,2.7,2021-08-02
146,WT-TAI-146,Taiwan,Taipei,2.6,2023-09-15
147,WT-TAI-147,Taiwan,Taichung,2.7,2024-05-01
148,WT-TAI-148,Taiwan,Tainan,4.3,2023-10-10
149,WT-TAI-149,Taiwan,Taipei,4.1,2024-09-14
150,WT-TAI-150,Taiwan,Taichung,3.8,2023-05-03
