FaultID,TurbineID,FaultDate,FaultCode,Severity
175,98,2025-07-26,BLD301,Medium
176,51,2025-06-15,SNS205,Medium
177,113,2025-01-12,SNS205,Low
178,25,2025-10-22,BRK501,High
179,77,2025-04-01,GEN401,Critical
180,10,2025-01-06,GBX101,Critical
181,83,2025-12-26,SNS205,High
182,105,2025-10-15,BRK501,Low
183,91,2025-09-23,BRK501,High
184,22,2025-08-01,GEN401,Critical
185,10,2025-01-22,BRK501,Critical
186,48,2025-10-23,BLD301,Medium
187,69,2025-08-30,GEN401,High
188,127,2025-10-31,GEN401,Low
189,147,2025-08-05,GBX101,Low
190,7,2025-01-05,GEN401,Medium
191,115,2025-05-19,GEN401,High
192,41,2025-11-23,GBX101,Low
193,27,2025-08-17,BLD301,Critical
194,145,2025-11-03,GEN401,Medium
195,6,2025-12-14,GBX101,Critical
196,18,2025-09-16,BRK501,Low
197,84,2025-06-12,SNS205,Medium
198,18,2025-04-30,GBX101,Critical
199,29,2025-10-02,GEN401,Low
200,136,2025-01-31,GBX101,Low
201,135,2025-02-02,SNS205,Low
202,136,2025-05-18,GBX101,Low
203,22,2025-07-15,SNS205,High
204,107,2025-03-30,BRK501,Critical
205,106,2025-10-06,BRK501,Low
206,105,2025-07-19,SNS205,High
207,69,2025-06-19,BRK501,Low
208,97,2025-06-27,GBX101,Medium
209,81,2025-07-05,BLD301,Medium
210,93,2025-08-06,SNS205,Critical
211,94,2025-05-22,GBX101,Medium
212,86,2025-02-27,SNS205,Medium
213,13,2025-07-25,GEN401,Medium
214,140,2025-06-08,GEN401,Critical
215,56,2025-06-17,SNS205,Medium
216,84,2025-04-01,GBX101,Low
217,149,2025-06-07,GBX101,Critical
218,106,2025-05-17,GEN401,Critical
219,44,2025-03-14,GBX101,Medium
220,82,2025-04-13,SNS205,Medium
221,36,2025-08-20,GEN401,Medium
222,68,2025-05-17,SNS205,Critical
223,83,2025-04-06,BRK501,Critical
224,89,2025-06-03,GEN401,Critical
225,119,2025-01-24,GBX101,Critical
226,67,2025-10-19,GEN401,Medium
227,130,2025-08-26,GEN401,Critical
228,62,2025-05-29,GEN401,High
229,59,2025-05-22,SNS205,Medium
230,2,2025-02-27,BRK501,High
231,63,2025-04-14,GBX101,High
232,82,2025-12-18,GEN401,High
233,69,2025-06-02,BRK501,Critical
234,104,2025-09-19,BRK501,High
235,44,2025-04-14,BLD301,High
236,103,2025-06-20,GBX101,Medium
237,125,2025-01-03,GEN401,High
238,53,2025-11-24,BRK501,Medium
239,80,2025-12-07,BRK501,Low
240,129,2025-03-07,BLD301,High
241,59,2025-08-07,GEN401,Medium
242,39,2025-06-07,BLD301,Medium
243,62,2025-02-17,SNS205,Low
244,44,2025-11-17,GEN401,Medium
245,57,2025-05-09,SNS205,Critical
246,106,2025-09-09,SNS205,Medium
247,107,2025-07-21,SNS205,High
248,28,2025-01-16,BRK501,Low
249,129,2025-01-12,GBX101,Low
250,1,2025-07-19,GEN401,Low
251,94,2025-07-30,SNS205,Critical
252,112,2025-01-07,SNS205,High
253,17,2025-07-13,BLD301,High
254,24,2025-01-04,BRK501,Low
255,128,2025-07-24,SNS205,Medium
256,65,2025-12-21,SNS205,Low
257,87,2025-01-23,GEN401,Critical
258,73,2025-12-02,GBX101,Medium
259,55,2025-03-29,SNS205,Low
260,90,2025-07-06,GEN401,Critical
261,47,2025-10-23,GBX101,Low
262,66,2025-07-06,GEN401,High
263,87,2025-11-02,BLD301,High
264,35,2025-10-29,BLD301,Low
265,53,2025-05-23,GBX101,Critical
266,117,2025-03-31,BRK501,High
267,33,2025-12-04,GBX101,Low
268,39,2025-12-06,SNS205,Critical
269,104,2025-07-07,GBX101,Low
270,70,2025-11-02,BRK501,Low
271,134,2025-04-15,BRK501,Medium
272,7,2025-10-15,GBX101,Medium
273,7,2025-10-17,BRK501,High
274,27,2025-10-06,BRK501,High
275,122,2025-03-26,BLD301,Medium
276,21,2025-02-21,GEN401,Low
277,20,2025-01-01,GBX101,Critical
278,64,2025-04-25,GBX101,Low
279,145,2025-04-05,SNS205,High
280,62,2025-04-21,SNS205,Medium
281,62,2025-05-31,BRK501,Critical
282,25,2025-01-26,SNS205,Low
283,64,2025-07-27,GEN401,Critical
284,127,2025-03-12,BRK501,Low
285,137,2025-06-18,BRK501,Critical
286,75,2025-10-07,GEN401,Medium
287,78,2025-10-31,BLD301,Critical
288,119,2025-09-24,SNS205,Low
289,136,2025-08-31,GEN401,Medium
290,90,2025-09-18,GEN401,Medium
291,2,2025-07-08,GBX101,Critical
292,10,2025-05-21,SNS205,Medium
293,3,2025-08-24,BLD301,High
294,92,2025-05-12,BLD301,Medium
295,61,2025-01-03,BLD301,Low
296,34,2025-11-01,GBX101,High
297,54,2025-06-19,SNS205,Critical
298,52,2025-06-01,BRK501,High
299,128,2025-01-27,BRK501,Medium
300,130,2025-08-08,SNS205,Critical
301,149,2025-05-05,BLD301,Critical
302,102,2025-10-06,BRK501,High
303,127,2025-10-03,GBX101,Medium
304,81,2025-01-23,BRK501,Low
305,31,2025-06-29,BLD301,Medium
306,22,2025-12-20,GEN401,Low
307,107,2025-01-07,GBX101,Low
308,13,2025-01-22,GBX101,Medium
309,74,2025-10-02,GEN401,Medium
310,71,2025-10-14,BLD301,Low
311,71,2025-04-17,SNS205,Medium
312,54,2025-06-04,BRK501,Medium
313,39,2025-02-11,SNS205,High
314,119,2025-02-26,BRK501,High
315,106,2025-06-01,BRK501,Critical
316,21,2025-10-12,GEN401,Medium
317,74,2025-10-07,BLD301,Critical
318,53,2025-05-29,BLD301,High
319,105,2025-12-29,SNS205,Medium
320,97,2025-01-29,BRK501,Low
321,81,2025-01-08,GBX101,Critical
322,141,2025-03-30,SNS205,Critical
323,84,2025-05-06,GEN401,High
324,17,2025-06-27,BLD301,Medium
325,15,2025-10-01,BRK501,Medium
326,129,2025-03-11,GEN401,Low
327,97,2025-11-09,GBX101,Medium
328,119,2025-10-06,SNS205,Medium
329,122,2025-01-19,GEN401,Medium
330,93,2025-08-04,BRK501,High
331,120,2025-01-01,GEN401,High
332,27,2025-11-18,GEN401,High
333,53,2025-03-08,BLD301,Critical
334,76,2025-03-31,BRK501,Critical
335,106,2025-11-28,GEN401,Critical
336,99,2025-07-15,BRK501,Low
337,149,2025-06-23,GEN401,Low
338,11,2025-01-20,SNS205,Medium
339,11,2025-02-04,GBX101,Critical
340,118,2025-03-26,BRK501,Critical
341,15,2025-08-13,GBX101,Low
342,145,2025-06-26,BLD301,High
343,80,2025-11-10,GBX101,Critical
344,98,2025-03-03,BRK501,Low
345,64,2025-11-29,BRK501,High
346,60,2025-09-17,BLD301,Critical
347,10,2025-04-28,GEN401,Critical
348,112,2025-04-15,GEN401,Medium
349,109,2025-08-05,GEN401,Medium
350,69,2025-03-27,GEN401,High
351,53,2025-03-09,SNS205,Medium
352,87,2025-12-06,SNS205,Critical
353,37,2025-05-30,SNS205,Medium
354,4,2025-01-29,BLD301,Medium
355,131,2025-01-20,BRK501,High
356,67,2025-06-09,GBX101,High
357,58,2025-06-03,GBX101,Medium
358,149,2025-04-08,GBX101,Critical
359,82,2025-08-24,BRK501,Low
360,25,2025-12-15,BRK501,Critical
361,3,2025-08-20,SNS205,Low
362,124,2025-12-01,BLD301,Critical
363,30,2025-12-25,GEN401,High
364,57,2025-11-05,BRK501,Medium
365,108,2025-07-16,BRK501,High
366,42,2025-09-20,GEN401,High
367,133,2025-03-12,GEN401,Critical
368,140,2025-01-03,SNS205,Critical
369,75,2025-07-05,BRK501,Critical
370,70,2025-04-24,BLD301,Critical
371,139,2025-10-19,SNS205,Critical
372,150,2025-06-02,BRK501,Medium
373,65,2025-01-30,GBX101,Low
374,84,2025-05-27,BRK501,Low
375,29,2025-11-17,GEN401,Critical
376,66,2025-01-28,BLD301,Medium
377,8,2025-06-02,BLD301,High
378,42,2025-05-28,BRK501,Low
379,37,2025-01-07,GEN401,Low
380,5,2025-05-06,GEN401,Critical
381,38,2025-01-24,BRK501,High
382,116,2025-02-07,BLD301,High
383,5,2025-07-18,GBX101,Low
384,53,2025-11-13,GEN401,Medium
385,79,2025-01-06,SNS205,Low
386,113,2025-09-30,GBX101,Low
387,129,2025-07-17,GEN401,High
388,136,2025-05-13,SNS205,Medium
389,150,2025-08-14,BLD301,Critical
390,45,2025-12-03,GEN401,High
391,47,2025-11-30,GEN401,High
392,48,2025-05-15,GEN401,Low
393,101,2025-07-22,GEN401,Medium
394,150,2025-02-01,BLD301,Low
395,40,2025-12-25,GEN401,High
396,61,2025-10-03,BLD301,Medium
397,34,2025-07-22,SNS205,High
398,123,2025-01-05,GBX101,Medium
399,60,2025-10-28,SNS205,High
400,95,2025-09-05,GEN401,Low
401,9,2025-10-23,GEN401,Low
402,7,2025-10-07,SNS205,Low
403,95,2025-02-10,SNS205,High
404,25,2025-04-01,BRK501,Low
405,92,2025-11-09,SNS205,Medium
406,98,2025-05-13,GEN401,High
407,137,2025-10-20,SNS205,Medium
408,139,2025-05-21,BLD301,High
409,133,2025-01-23,BRK501,Critical
410,5,2025-04-04,BRK501,High
411,132,2025-02-28,BLD301,Critical
412,7,2025-08-07,GEN401,Critical
413,132,2025-06-20,BLD301,Critical
414,39,2025-12-23,BRK501,Low
415,127,2025-09-25,SNS205,Medium
416,56,2025-11-17,SNS205,High
417,51,2025-09-04,GBX101,Low
418,32,2025-03-03,SNS205,Low
419,18,2025-09-15,BRK501,High
420,36,2025-10-06,GEN401,Critical
421,52,2025-05-12,GEN401,High
422,20,2025-01-25,GEN401,Medium
423,12,2025-06-12,BRK501,Critical
424,50,2025-07-27,BRK501,Medium
425,150,2025-07-11,GEN401,Critical
426,71,2025-11-14,SNS205,Critical
427,88,2025-05-01,GBX101,Critical
428,133,2025-05-22,GEN401,Critical
429,6,2025-04-22,GBX101,High
430,62,2025-05-11,GEN401,Critical
431,86,2025-04-15,SNS205,Critical
432,140,2025-09-21,BRK501,Critical
433,32,2025-06-24,SNS205,Low
434,88,2025-06-01,SNS205,High
435,13,2025-02-22,BLD301,High
436,99,2025-12-16,GBX101,Low
437,122,2025-05-01,SNS205,Low
438,138,2025-07-31,GBX101,Critical
439,141,2025-11-29,BRK501,Low
440,22,2025-05-25,GBX101,Low
441,100,2025-11-21,GBX101,Critical
442,80,2025-06-26,GEN401,Medium
443,125,2025-02-25,BRK501,Low
444,47,2025-03-06,BRK501,Low
445,29,2025-02-22,BLD301,Critical
446,144,2025-01-12,GBX101,High
447,26,2025-12-31,BLD301,Critical
448,136,2025-02-14,GBX101,High
449,123,2025-08-10,SNS205,High
450,84,2025-09-10,GBX101,Critical
451,116,2025-09-24,SNS205,Medium
452,67,2025-12-28,GBX101,Low
453,22,2025-04-29,SNS205,High
454,44,2025-08-13,GEN401,Critical
455,124,2025-08-02,GBX101,Low
456,76,2025-07-30,SNS205,Medium
457,92,2025-12-01,GEN401,Critical
458,101,2025-12-04,SNS205,High
459,52,2025-11-09,GEN401,Medium
460,83,2025-04-21,BRK501,High
461,114,2025-07-19,BLD301,Medium
462,126,2025-11-18,BRK501,Low
463,141,2025-09-08,SNS205,Critical
464,52,2025-12-31,GEN401,Medium
465,141,2025-03-03,BLD301,Critical
466,24,2025-01-24,BRK501,Medium
467,117,2025-03-22,BRK501,Low
468,130,2025-11-02,BRK501,Medium
469,1,2025-10-21,BLD301,High
470,47,2025-11-26,GBX101,Low
471,64,2025-04-12,BRK501,Critical
472,109,2025-03-05,GEN401,High
473,125,2025-10-04,GBX101,High
474,13,2025-02-10,SNS205,Medium
475,83,2025-11-14,SNS205,Critical
476,115,2025-09-03,GEN401,Critical
477,34,2025-09-11,GEN401,Critical
478,1,2025-10-15,BLD301,Low
479,61,2025-05-21,BLD301,Low
480,14,2025-12-29,GBX101,Critical
481,10,2025-01-16,SNS205,High
482,20,2025-01-23,BRK501,Critical
483,27,2025-06-15,BRK501,Low
484,75,2025-11-03,GBX101,Low
485,135,2025-02-21,BLD301,Critical
486,29,2025-05-01,GBX101,High
487,81,2025-08-22,SNS205,High
488,135,2025-05-16,GEN401,Medium
489,101,2025-12-28,GBX101,High
490,88,2025-06-17,SNS205,Low
491,53,2025-12-12,BLD301,Low
492,17,2025-11-28,BRK501,Medium
493,11,2025-04-08,GBX101,Medium
494,84,2025-06-10,BRK501,Critical
495,29,2025-12-04,BLD301,Critical
496,69,2025-04-29,BLD301,Low
497,18,2025-05-16,BRK501,High
498,128,2025-05-23,BRK501,High
499,12,2025-07-23,BRK501,Critical
500,53,2025-06-25,BRK501,Low
501,59,2025-09-19,BLD301,Medium
502,23,2025-05-24,GEN401,Low
503,20,2025-06-10,GEN401,Critical
504,99,2025-12-01,GBX101,Low
505,48,2025-09-04,BRK501,Critical
506,137,2025-12-29,BRK501,Low
507,80,2025-01-19,BRK501,Critical
508,95,2025-03-24,GEN401,Medium
509,47,2025-05-01,GEN401,Medium
510,125,2025-01-30,BLD301,Critical
511,83,2025-01-07,BLD301,Medium
512,6,2025-05-15,GBX101,Critical
513,24,2025-01-03,BRK501,Medium
514,38,2025-08-04,SNS205,Low
515,11,2025-11-01,BLD301,Medium
516,119,2025-03-29,SNS205,Medium
517,139,2025-11-29,SNS205,Critical
518,13,2025-11-25,SNS205,Critical
519,34,2025-05-20,GBX101,Medium
520,12,2025-09-28,BLD301,Medium
521,48,2025-12-18,BRK501,Medium
522,131,2025-02-06,SNS205,Critical
523,22,2025-11-10,BLD301,Medium
524,133,2025-07-31,BLD301,Medium
525,86,2025-12-16,BRK501,Low
526,131,2025-10-01,GEN401,High
527,62,2025-10-24,BLD301,Critical
528,137,2025-11-15,SNS205,High
529,90,2025-01-22,GBX101,Medium
530,44,2025-12-15,SNS205,Medium
531,21,2025-07-09,BRK501,Critical
532,65,2025-03-21,BLD301,Low
533,90,2025-03-11,BLD301,Low
534,67,2025-10-27,GBX101,Low
535,10,2025-10-06,BRK501,Medium
536,107,2025-05-23,BRK501,Critical
537,121,2025-04-07,BRK501,Low
538,21,2025-07-15,BRK501,High
539,124,2025-06-22,BLD301,Medium
540,87,2025-01-23,SNS205,Medium
541,96,2025-07-28,BRK501,Medium
542,74,2025-06-08,BLD301,Low
543,1,2025-11-12,GBX101,Critical
544,125,2025-03-01,GEN401,Low
545,70,2025-01-19,BRK501,Medium
546,42,2025-05-29,GEN401,Low
547,114,2025-11-06,SNS205,Medium
548,46,2025-11-30,BLD301,Low
549,126,2025-08-14,SNS205,Critical
550,94,2025-07-10,BLD301,Low
551,98,2025-09-22,SNS205,Critical
552,53,2025-03-05,GBX101,Critical
553,140,2025-02-06,BLD301,Critical
554,92,2025-04-11,SNS205,Low
555,50,2025-09-15,BRK501,High
556,79,2025-09-08,BLD301,Medium
557,11,2025-02-13,GEN401,Low
558,150,2025-10-06,SNS205,Critical
559,46,2025-04-13,GBX101,Medium
560,70,2025-07-27,BRK501,Medium
561,146,2025-08-16,GBX101,Critical
562,109,2025-11-23,GBX101,High
563,142,2025-10-13,SNS205,Medium
564,71,2025-04-16,BRK501,High
565,77,2025-08-14,BRK501,Critical
566,68,2025-04-12,SNS205,Critical
567,128,2025-01-18,GBX101,High
568,20,2025-09-17,GEN401,High
569,65,2025-04-20,BLD301,Medium
570,111,2025-09-04,BLD301,Critical
571,17,2025-06-25,BRK501,Medium
572,112,2025-07-17,BRK501,High
573,127,2025-04-09,BLD301,Critical
574,24,2025-06-10,BLD301,Medium
575,3,2025-12-30,GEN401,Critical
576,111,2025-02-27,BRK501,Low
577,1,2025-12-16,SNS205,Medium
578,8,2025-12-31,BRK501,Low
579,9,2025-10-25,BRK501,High
580,34,2025-08-17,SNS205,Low
581,126,2025-12-07,GBX101,Low
582,12,2025-08-20,SNS205,Critical
583,140,2025-04-21,GEN401,Medium
584,2,2025-10-22,SNS205,Low
585,55,2025-03-12,GBX101,High
586,33,2025-03-28,GBX101,Low
587,52,2025-08-04,GBX101,Critical
588,57,2025-03-12,GEN401,Medium
589,47,2025-10-10,GEN401,Medium
590,120,2025-01-13,BLD301,Critical
591,102,2025-05-05,BLD301,Critical
592,22,2025-10-17,BLD301,High
593,53,2025-06-29,BLD301,Medium
594,70,2025-08-21,BRK501,Critical
595,139,2025-05-18,BRK501,Low
596,78,2025-12-18,BRK501,High
597,64,2025-04-21,GBX101,Low
598,94,2025-03-11,BLD301,High
599,133,2025-04-28,GEN401,Critical
600,22,2025-10-05,GEN401,Critical
601,26,2025-06-19,BRK501,Low
602,88,2025-01-12,BLD301,Low
603,92,2025-05-15,GEN401,High
604,31,2025-01-18,GBX101,Medium
605,140,2025-10-15,BRK501,Low
606,88,2025-06-16,SNS205,Critical
607,21,2025-02-18,GBX101,High
608,11,2025-10-27,BLD301,Low
609,136,2025-08-21,BRK501,Critical
610,1,2025-10-01,BRK501,Critical
611,125,2025-02-12,BLD301,High
612,64,2025-07-16,BRK501,High
613,143,2025-06-09,GBX101,High
614,113,2025-10-13,SNS205,High
615,74,2025-09-18,GBX101,High
616,91,2025-11-29,GBX101,Medium
617,46,2025-06-30,BRK501,Low
618,78,2025-03-19,SNS205,High
619,141,2025-08-23,BRK501,Low
620,147,2025-07-26,GEN401,High
621,119,2025-12-17,BLD301,Critical
622,95,2025-08-17,BRK501,Critical
623,18,2025-09-30,GBX101,Medium
624,40,2025-11-20,SNS205,Low
625,112,2025-08-07,BLD301,High
626,62,2025-02-05,SNS205,High
627,83,2025-07-20,SNS205,Medium
628,6,2025-02-02,SNS205,Medium
629,82,2025-11-21,BRK501,Medium
630,107,2025-09-05,SNS205,Critical
631,10,2025-03-29,GEN401,Critical
632,69,2025-11-05,GEN401,Medium
633,17,2025-11-24,SNS205,Medium
634,111,2025-05-09,GBX101,Medium
635,29,2025-10-18,BRK501,High
636,145,2025-07-16,BLD301,Medium
637,84,2025-09-27,SNS205,High
638,13,2025-07-17,GEN401,Medium
639,115,2025-02-10,BRK501,Critical
640,135,2025-06-10,GBX101,Critical
641,5,2025-10-19,BRK501,High
642,41,2025-02-28,SNS205,Critical
643,129,2025-08-21,BRK501,Low
644,83,2025-12-25,GBX101,Low
645,145,2025-09-17,BRK501,High
646,119,2025-10-14,BRK501,Medium
647,35,2025-09-16,GBX101,Low
648,84,2025-04-21,BRK501,High
649,128,2025-02-26,GEN401,High
650,81,2025-08-16,GEN401,High
651,5,2025-10-21,SNS205,Critical
652,100,2025-04-17,GEN401,Low
653,94,2025-05-15,GBX101,Medium
654,15,2025-12-12,BLD301,Low
655,129,2025-03-28,SNS205,High
656,143,2025-08-18,GEN401,Medium
657,79,2025-03-06,BLD301,Low
658,104,2025-09-18,BLD301,High
659,35,2025-11-30,GEN401,Critical
660,108,2025-06-07,SNS205,Critical
661,54,2025-10-26,GBX101,Critical
662,115,2025-01-04,SNS205,Low
663,88,2025-04-11,BLD301,Medium
664,91,2025-05-31,SNS205,Medium
665,84,2025-10-30,SNS205,Low
666,131,2025-07-17,SNS205,Low
667,77,2025-07-19,BLD301,Medium
668,141,2025-12-08,GBX101,High
669,6,2025-10-14,GBX101,Low
670,126,2025-03-20,BRK501,Critical
671,104,2025-09-18,GEN401,Critical
672,24,2025-10-06,BRK501,High
673,8,2025-09-03,BRK501,High
674,38,2025-01-25,GBX101,High
675,141,2025-08-31,GBX101,Critical
676,95,2025-08-08,GEN401,High
677,133,2025-09-16,GBX101,Low
678,84,2025-07-19,SNS205,Low
679,30,2025-06-19,BLD301,Critical
680,107,2025-09-22,GEN401,Low
681,18,2025-01-02,SNS205,High
682,45,2025-09-03,GEN401,Critical
683,129,2025-01-25,GBX101,Low
684,75,2025-11-07,GEN401,High
685,127,2025-12-17,GBX101,Low
686,147,2025-03-15,BLD301,Low
687,40,2025-12-12,SNS205,Medium
688,122,2025-05-16,BRK501,Medium
689,106,2025-05-30,BRK501,Critical
690,109,2025-07-24,SNS205,High
691,76,2025-06-14,GEN401,Medium
692,112,2025-01-27,BLD301,Low
693,11,2025-07-30,GEN401,Critical
694,6,2025-06-25,GEN401,Medium
695,25,2025-06-15,BRK501,Critical
696,27,2025-09-12,BLD301,Low
697,83,2025-09-06,BRK501,Critical
698,84,2025-11-14,GBX101,Critical
699,123,2025-06-28,BRK501,High
700,73,2025-12-04,BRK501,High
701,134,2025-09-10,BLD301,Low
702,35,2025-08-08,BRK501,Medium
703,2,2025-07-19,BLD301,Critical
704,93,2025-10-12,GEN401,High
705,127,2025-05-25,GBX101,Low
706,110,2025-02-19,SNS205,Medium
707,24,2025-03-23,BLD301,Low
708,10,2025-01-18,SNS205,Low
709,112,2025-04-18,SNS205,Low
710,84,2025-07-01,GBX101,Critical
711,147,2025-02-04,GBX101,High
712,78,2025-03-01,BLD301,Critical
713,9,2025-03-03,BRK501,Critical
714,24,2025-10-11,GBX101,Critical
715,48,2025-01-06,BRK501,Low
716,108,2025-02-08,GBX101,High
717,55,2025-04-27,BLD301,Low
718,12,2025-01-29,BLD301,High
719,66,2025-10-21,BLD301,Critical
720,148,2025-04-15,BLD301,Medium
721,62,2025-09-06,SNS205,Medium
722,4,2025-05-11,GEN401,Low
723,6,2025-04-08,GEN401,Low
